image_number,number_of_paths
0,"(array([56, 68]), array([0, 5]))"
0,"(array([ 98, 104]), array([71, 43]))"
0,"(array([78, 82]), array([4, 5]))"
0,"(array([31, 18]), array([33, 95]))"
0,"(array([ 2, 86]), array([70, 75]))"
0,"(array([97, 28]), array([96,  3]))"
0,"(array([70, 45]), array([85, 85]))"
0,"(array([ 5, 85]), array([ 25, 105]))"
0,"(array([ 66, 115]), array([ 8, 76]))"
0,"(array([ 15, 114]), array([53, 88]))"
0,"(array([22, 43]), array([ 2, 72]))"
0,"(array([20, 50]), array([109,  34]))"
0,"(array([ 58, 112]), array([ 8, 12]))"
0,"(array([26, 89]), array([65,  0]))"
0,"(array([ 67, 117]), array([36, 47]))"
0,"(array([99, 78]), array([8, 1]))"
1,"(array([ 0, 69]), array([ 9, 40]))"
1,"(array([54, 70]), array([28, 48]))"
1,"(array([116,  28]), array([  1, 113]))"
1,"(array([59, 91]), array([ 72, 113]))"
1,"(array([12, 87]), array([38, 68]))"
1,"(array([94, 63]), array([ 3, 95]))"
1,"(array([102,  19]), array([ 0, 69]))"
1,"(array([106,  66]), array([11, 50]))"
1,"(array([47, 18]), array([ 9, 78]))"
1,"(array([ 44, 100]), array([101,  22]))"
1,"(array([99, 64]), array([70, 94]))"
1,"(array([27, 77]), array([31, 63]))"
1,"(array([34,  5]), array([ 59, 105]))"
1,"(array([64, 41]), array([103,  95]))"
1,"(array([31, 48]), array([26,  7]))"
1,"(array([45,  2]), array([ 63, 104]))"
1,"(array([48, 26]), array([ 68, 102]))"
1,"(array([27, 36]), array([43,  1]))"
1,"(array([110,  28]), array([110,   1]))"
1,"(array([ 40, 106]), array([ 83, 114]))"
1,"(array([38, 14]), array([41, 80]))"
10,"(array([20, 12]), array([117,  15]))"
10,"(array([78, 41]), array([113,  87]))"
10,"(array([ 72, 111]), array([ 5, 30]))"
10,"(array([102,  92]), array([9, 6]))"
10,"(array([ 1, 89]), array([2, 7]))"
10,"(array([66, 40]), array([4, 5]))"
10,"(array([58, 87]), array([  1, 103]))"
10,"(array([113,   7]), array([ 90, 104]))"
10,"(array([17, 96]), array([41,  2]))"
10,"(array([ 5, 55]), array([1, 5]))"
10,"(array([67, 87]), array([98, 41]))"
10,"(array([102,  42]), array([  9, 106]))"
10,"(array([22,  8]), array([ 15, 118]))"
10,"(array([97, 14]), array([ 5, 10]))"
10,"(array([62, 97]), array([ 0, 17]))"
10,"(array([ 8, 42]), array([101,   1]))"
10,"(array([  1, 118]), array([10,  2]))"
100,"(array([11,  4]), array([85, 19]))"
100,"(array([40,  2]), array([ 35, 117]))"
100,"(array([20,  8]), array([ 79, 106]))"
100,"(array([ 68, 101]), array([106,  98]))"
100,"(array([25, 84]), array([6, 5]))"
100,"(array([21, 56]), array([116, 112]))"
100,"(array([118,  39]), array([63, 58]))"
100,"(array([ 51, 106]), array([ 73, 113]))"
100,"(array([108,  17]), array([82, 77]))"
100,"(array([83, 19]), array([ 5, 11]))"
100,"(array([77, 23]), array([26, 71]))"
100,"(array([67, 90]), array([105, 112]))"
100,"(array([39, 56]), array([27,  1]))"
100,"(array([103,  39]), array([ 78, 100]))"
100,"(array([103,  21]), array([ 45, 110]))"
100,"(array([105, 103]), array([55, 80]))"
100,"(array([67, 83]), array([41,  8]))"
100,"(array([115,  17]), array([39, 53]))"
100,"(array([50, 86]), array([97, 23]))"
100,"(array([15,  3]), array([108,  85]))"
100,"(array([ 35, 104]), array([101,  21]))"
100,"(array([25, 64]), array([116, 100]))"
100,"(array([115,  54]), array([77, 98]))"
100,"(array([115, 110]), array([72, 74]))"
100,"(array([111,  71]), array([2, 5]))"
100,"(array([67, 74]), array([107,   9]))"
100,"(array([ 76, 105]), array([111, 101]))"
100,"(array([56, 65]), array([22,  3]))"
100,"(array([111,  37]), array([42,  7]))"
100,"(array([64, 48]), array([40,  6]))"
100,"(array([111,   1]), array([34, 52]))"
100,"(array([106,  85]), array([23, 47]))"
100,"(array([71, 51]), array([24, 91]))"
100,"(array([83, 84]), array([29,  6]))"
100,"(array([ 40, 106]), array([96, 10]))"
100,"(array([107,  20]), array([47, 95]))"
100,"(array([105,  95]), array([87, 81]))"
100,"(array([11,  8]), array([ 25, 112]))"
100,"(array([29, 49]), array([108,  66]))"
100,"(array([34, 74]), array([108,  73]))"
100,"(array([24,  8]), array([ 25, 108]))"
100,"(array([86, 79]), array([113,   7]))"
100,"(array([88, 21]), array([70, 83]))"
100,"(array([108,  35]), array([59, 82]))"
100,"(array([ 6, 10]), array([67, 86]))"
100,"(array([117,  87]), array([23,  5]))"
100,"(array([108,   1]), array([20, 67]))"
100,"(array([20, 11]), array([79, 94]))"
100,"(array([40, 73]), array([117,  86]))"
100,"(array([118,  46]), array([22, 76]))"
100,"(array([ 74, 107]), array([22,  7]))"
100,"(array([22, 12]), array([117,  73]))"
100,"(array([103,  44]), array([34, 41]))"
100,"(array([97, 23]), array([74, 64]))"
100,"(array([105,  88]), array([ 76, 116]))"
100,"(array([58, 90]), array([101,  40]))"
100,"(array([ 82, 103]), array([42, 46]))"
100,"(array([96,  4]), array([78, 56]))"
100,"(array([115,  40]), array([25, 83]))"
100,"(array([8, 4]), array([42, 68]))"
100,"(array([93,  4]), array([72, 97]))"
100,"(array([115,  76]), array([ 45, 112]))"
100,"(array([33, 94]), array([ 52, 105]))"
100,"(array([34, 43]), array([103,  14]))"
100,"(array([108,  13]), array([42, 89]))"
100,"(array([99,  6]), array([53, 48]))"
100,"(array([105,  57]), array([37,  4]))"
100,"(array([115,  57]), array([36, 63]))"
100,"(array([93,  7]), array([77, 67]))"
100,"(array([ 37, 116]), array([116,   0]))"
100,"(array([75, 91]), array([100,  20]))"
100,"(array([31, 80]), array([115,  74]))"
100,"(array([57, 68]), array([22,  2]))"
100,"(array([116,  79]), array([28, 90]))"
100,"(array([113,  29]), array([21, 11]))"
100,"(array([97,  8]), array([32, 51]))"
100,"(array([19,  5]), array([87, 74]))"
100,"(array([18,  8]), array([75, 64]))"
100,"(array([7, 2]), array([29, 90]))"
100,"(array([107,  39]), array([41, 92]))"
100,"(array([39,  5]), array([77, 96]))"
100,"(array([114,  62]), array([ 49, 102]))"
100,"(array([63, 69]), array([106, 114]))"
100,"(array([6, 3]), array([66, 54]))"
100,"(array([5, 5]), array([107,  28]))"
100,"(array([53, 43]), array([101,   6]))"
100,"(array([50, 80]), array([114,  92]))"
100,"(array([63, 99]), array([113,  16]))"
100,"(array([83, 10]), array([29, 89]))"
100,"(array([117, 100]), array([80, 99]))"
100,"(array([37, 58]), array([93, 22]))"
100,"(array([101,  81]), array([ 40, 112]))"
101,"(array([10,  7]), array([26, 48]))"
101,"(array([28, 67]), array([72, 91]))"
101,"(array([23, 50]), array([11, 15]))"
101,"(array([79, 44]), array([47, 66]))"
101,"(array([72,  3]), array([ 5, 65]))"
101,"(array([66,  3]), array([16, 10]))"
101,"(array([96, 76]), array([34,  2]))"
101,"(array([78, 99]), array([16,  3]))"
101,"(array([31, 69]), array([74, 10]))"
101,"(array([70,  4]), array([ 9, 36]))"
101,"(array([21, 16]), array([104,  84]))"
101,"(array([ 83, 109]), array([66,  2]))"
101,"(array([ 73, 105]), array([  6, 115]))"
